Sample	Season	Heat	Date	Month	Temp	Salinity	Chlorophyll	Nitrate	Ammonium	Phosphate	Silicate	Solar 	POC	PON	DO
061517-C-B12	Spring	high	61517	Jun	28.03	28.89	5.40814	0.320483871	0.535378662	0.570205328	99.0110678	19.86	68.86424854	14.80222289	7.69
062217-A-C1	Summer	high	62217	Jun	28.93	31.48	1.939876304	0.598387097	2.137368712	0.761783405	113.0611688	12.68	81.4203164	18.257375	6.19
062217-B-C2	Summer	high	62217	Jun	28.93	31.48	1.939876304	0.598387097	2.137368712	0.761783405	113.0611688	12.68	81.4203164	18.257375	6.19
062217-C-C3	Summer	high	62217	Jun	28.93	31.48	1.939876304	0.598387097	2.137368712	0.761783405	113.0611688	12.68	81.4203164	18.257375	6.19
070617-A-C4	Summer	high	70617	Jul	30.01	28.12	4.092495176	0.583306452	0.590934218	0.537349373	98.47680695	18.98	80.09175947	14.09853985	9.44
070617-B-C5	Summer	high	70617	Jul	30.01	28.12	4.092495176	0.583306452	0.590934218	0.537349373	98.47680695	18.98	80.09175947	14.09853985	9.44
070617-C-C6	Summer	high	70617	Jul	30.01	28.12	4.092495176	0.583306452	0.590934218	0.537349373	98.47680695	18.98	80.09175947	14.09853985	9.44
072117-A-C7	Summer	high	72117	Jul	30.23	30.15	6.382277018	1.299354839	0.090934218	0.733717841	127.0468023	16.39	79.65101478	14.67532185	6.22
072117-B-C8	Summer	high	72117	Jul	30.23	30.15	6.382277018	1.299354839	0.090934218	0.733717841	127.0468023	16.39	79.65101478	14.67532185	6.22
072117-C-C9	Summer	high	72117	Jul	30.23	30.15	6.382277018	1.299354839	0.090934218	0.733717841	127.0468023	16.39	79.65101478	14.67532185	6.22
072717-A-C10	Summer	high	72717	Jul	29.74	32.14	4.11488913	0.771129032	0.191818684	0.816277667	121.8598952	11.08	70.60512854	11.18751255	5.43
072717-B-C11	Summer	high	72717	Jul	29.74	32.14	4.11488913	0.771129032	0.191818684	0.816277667	121.8598952	11.08	70.60512854	11.18751255	5.43
072717-C-C12	Summer	high	72717	Jul	29.74	32.14	4.11488913	0.771129032	0.191818684	0.816277667	121.8598952	11.08	70.60512854	11.18751255	5.43
080317-A-D1	Summer	high	80317	Aug	29.13	29.94	4.587961418	1.259354839	0	0.690555228	130.214233	15.47	59.29589925	13.01912764	7.75
080317-B-D2	Summer	high	80317	Aug	29.13	29.94	4.587961418	1.259354839	0	0.690555228	130.214233	15.47	59.29589925	13.01912764	7.75
080317-C-D3	Summer	high	80317	Aug	29.13	29.94	4.587961418	1.259354839	0	0.690555228	130.214233	15.47	59.29589925	13.01912764	7.75
081017-A-D4	Summer	high	81017	Aug	29.22	29.73	4.758715321	1.507177419	0	0.690399916	139.2380938	7.62	69.29775448	12.68973564	6.5
081017-B-D5	Summer	high	81017	Aug	29.22	29.73	4.758715321	1.507177419	0	0.690399916	139.2380938	7.62	69.29775448	12.68973564	6.5
081017-C-D6	Summer	high	81017	Aug	29.22	29.73	4.758715321	1.507177419	0	0.690399916	139.2380938	7.62	69.29775448	12.68973564	6.5
081617-A-D7	Summer	high	81617	Aug	31.23	29.28	5.315764938	1.770080645	0	0.66823818	119.097811	18.51	41.70808701	7.36527308	6.82
081617-B-D8	Summer	high	81617	Aug	31.23	29.28	5.315764938	1.770080645	0	0.66823818	119.097811	18.51	41.70808701	7.36527308	6.82
081617-C-D9	Summer	high	81617	Aug	31.23	29.28	5.315764938	1.770080645	0	0.66823818	119.097811	18.51	41.70808701	7.36527308	6.82
082317-A-D10	Summer	high	82317	Aug	30.66	30.32	5.797234958	1.497177419	0.352404643	0.729217648	119.64932	17.89	38.91084903	10.52543714	4.2
082317-B-D11	Summer	high	82317	Aug	30.66	30.32	5.797234958	1.497177419	0.352404643	0.729217648	119.64932	17.89	38.91084903	10.52543714	4.2
082317-C-D12	Summer	high	82317	Aug	30.66	30.32	5.797234958	1.497177419	0.352404643	0.729217648	119.64932	17.89	38.91084903	10.52543714	4.2
083017-A-E1	Summer	high	83017	Aug	27.02	26.58	2.474531967	1.71	1.206191266	0.693121407	125.745877	10.79	37.62847627	11.49227076	21.67
083017-B-E2	Summer	high	83017	Aug	27.02	26.58	2.474531967	1.71	1.206191266	0.693121407	125.745877	10.79	37.62847627	11.49227076	21.67
090617-A-E3	Summer	high	90617	Sept	28.57	27.98	3.818169234								6.73
090617-B-E4	Summer	high	90617	Sept	28.57	27.98	3.818169234								6.73
090617-C-E5	Summer	high	90617	Sept	28.57	27.98	3.818169234								6.73
092017-A-E6	Summer	high	92017	Sept	27.05	26.73	2.578104006	0.748548387	2.852128248	0.358405496	81.62011895	11.04	56.32912157	7.325562032	6.45
092017-B-E7	Summer	high	92017	Sept	27.05	26.73	2.578104006	0.748548387	2.852128248	0.358405496	81.62011895	11.04	56.32912157	7.325562032	6.45
092017-C-E8	Summer	high	92017	Sept	27.05	26.73	2.578104006	0.748548387	2.852128248	0.358405496	81.62011895	11.04	56.32912157	7.325562032	6.45
092617-A-E9	Fall	high	92617	Sept	28.13	28.79	2.74325942	0.460645161	0.895798784	0.537611035	86.83790495	11.03	57.39785595	6.74346378	7.7
092617-B-E10	Fall	high	92617	Sept	28.13	28.79	2.74325942	0.460645161	0.895798784	0.537611035	86.83790495	11.03	57.39785595	6.74346378	7.7
092617-C-E11	Fall	high	92617	Sept	28.13	28.79	2.74325942	0.460645161	0.895798784	0.537611035	86.83790495	11.03	57.39785595	6.74346378	7.7
100417-A-E12	Fall	high	100417	Oct	24.82	27.77	2.757255642	0.751048387	1.632946379	0.727940402	82.66004495	11.52	79.480204	7.010512073	7.86
100417-B-F1	Fall	high	100417	Oct	24.82	27.77	2.757255642	0.751048387	1.632946379	0.727940402	82.66004495	11.52	79.480204	7.010512073	7.86
100417-C-F2	Fall	high	100417	Oct	24.82	27.77	2.757255642	0.751048387	1.632946379	0.727940402	82.66004495	11.52	79.480204	7.010512073	7.86
101117-A-F3	Fall	high	101117	Oct	28.1	29.23	2.650884358	0.721048387	2.026533997	0.72450816	74.9048552	11.13	69.3944057	13.63532083	6.85
101117-B-F4	Fall	high	101117	Oct	28.1	29.23	2.650884358	0.721048387	2.026533997	0.72450816	74.9048552	11.13	69.3944057	13.63532083	6.85
101817-A-F5	Fall	high	101817	Oct	23.9	29.75	2.491327433	0.961370968	2.18159204	0.708597136	82.139855	11.28	62.67266861	7.795878435	9.21
101817-B-F6	Fall	high	101817	Oct	23.9	29.75	2.491327433	0.961370968	2.18159204	0.708597136	82.139855	11.28	62.67266861	7.795878435	9.21
101817-C-F7	Fall	high	101817	Oct	23.9	29.75	2.491327433	0.961370968	2.18159204	0.708597136	82.139855	11.28	62.67266861	7.795878435	9.21
110817-A-F8	Fall	high	110817	Nov	21.42	31.19	2.648085114	0.550806452	2.043117745	0.689344109	62.20648895	5.75	41.71026879	6.37152373	10.71
110817-B-F9	Fall	high	110817	Nov	21.42	31.19	2.648085114	0.550806452	2.043117745	0.689344109	62.20648895	5.75	41.71026879	6.37152373	10.71
110817-C-F10	Fall	high	110817	Nov	21.42	31.19	2.648085114	0.550806452	2.043117745	0.689344109	62.20648895	5.75	41.71026879	6.37152373	10.71
111617-A-F11	Fall	mild	111617	Nov	16.43	30.53	2.230997712	0.881290323	0.973189608	0.673258713	62.7089768	6.48	32.21179486	7.202440674	13.37
111617-B-F12	Fall	mild	111617	Nov	16.43	30.53	2.230997712	0.881290323	0.973189608	0.673258713	62.7089768	6.48	32.21179486	7.202440674	13.37
111617-C-G1	Fall	mild	111617	Nov	16.43	30.53	2.230997712	0.881290323	0.973189608	0.673258713	62.7089768	6.48	32.21179486	7.202440674	13.37
112117-A-G2	Fall	mild	112117	Nov	16.1	30.83	2.760054886	0.35483871	3.245715865	0.648889228	59.20109375	4.43	53.17190362	6.217527061	13.48
112117-B-G3	Fall	mild	112117	Nov	16.1	30.83	2.760054886	0.35483871	3.245715865	0.648889228	59.20109375	4.43	53.17190362	6.217527061	13.48
120717-A-G4	Fall	mild	120717	Dec	16.95	30.82	3.174343043	0.428870968	1.90989497	0.470095504	54.7236392	0.86	81.30209981	15.27169026	12
120717-B-G5	Fall	mild	120717	Dec	16.95	30.82	3.174343043	0.428870968	1.90989497	0.470095504	54.7236392	0.86	81.30209981	15.27169026	12
120717-C-G6	Fall	mild	120717	Dec	16.95	30.82	3.174343043	0.428870968	1.90989497	0.470095504	54.7236392	0.86	81.30209981	15.27169026	12
121417-A-G7	Fall	mild	121417	Dec	12.17	29.94	1.659951874	0.908870968	4.819789939	0.531687059	58.7017832	5.08	34.45912781	8.155682764	15.21
121417-B-G8	Fall	mild	121417	Dec	12.17	29.94	1.659951874	0.908870968	4.819789939	0.531687059	58.7017832	5.08	34.45912781	8.155682764	15.21
121417-C-G9	Fall	mild	121417	Dec	12.17	29.94	1.659951874	0.908870968	4.819789939	0.531687059	58.7017832	5.08	34.45912781	8.155682764	15.21
